nid,nid,Sequence,Judge Name,School,Degree,Degree Year,Court Name,In District,T14 Law School
1394046,1394046,2,"Curiel, Gonzalo Paul",Indiana University School of Law -- Bloomington (now Maurer School of Law),J.D.,1979,U.S. District Court for the Southern District of California,0,False
1393661,1393661,2,"D'Agostino, Mae Avila",Syracuse University College of Law,J.D.,1980,U.S. District Court for the Northern District of New York,1,False
1393681,1393681,2,"Dalton, Roy Bale, Jr.",University of Florida College of Law,J.D.,1976,U.S. District Court for the Middle District of Florida,1,False
1393741,1393741,2,"Darrow, Sara Lynn",St. Louis University School of Law,J.D.,1997,U.S. District Court for the Central District of Illinois,0,False
1393616,1393616,2,"Davila, Edward John","University of California, Hastings College of the Law",J.D.,1979,U.S. District Court for the Northern District of California,1,False
1394341,1394341,2,"Davis, Brian Jordan",University of Florida College of Law,J.D.,1980,U.S. District Court for the Middle District of Florida,1,False
1394621,1394621,2,"deGravelles, John Wheadon",Louisiana State University Law School,J.D.,1974,U.S. District Court for the Middle District of Louisiana,1,False
1393136,1393136,2,"DeGuilio, Jon Ernest",Valparaiso University Law School,J.D.,1981,U.S. District Court for the Northern District of Indiana,1,False
1394366,1394366,2,"Delgado Hernandez, Pedro Alberto",University of Puerto Rico School of Law,J.D.,1983,U.S. District Court for the District of Puerto Rico,1,False
1393541,1393541,2,"Diaz, Albert",New York University School of Law,J.D.,1988,U.S. Court of Appeals for the Fourth Circuit,0,True
1394191,1394191,2,"Dick, Shelly Deckert",Louisiana State University Law School,J.D.,1988,U.S. District Court for the Middle District of Louisiana,1,False
1394741,1394741,2,"Dillon, Elizabeth Kay",Wake Forest University School of Law,J.D.,1986,U.S. District Court for the Western District of Virginia,0,False
1394356,1394356,3,"Donato, James",Stanford Law School,J.D.,1988,U.S. District Court for the Northern District of California,1,True
1394806,1394806,2,"Donnelly, Ann Marie",Ohio State University College of Law,J.D.,1984,U.S. District Court for the Eastern District of New York,0,False
1394256,1394256,2,"Dorsey, Jennifer Anna",Pepperdine University School of Law,J.D.,1997,U.S. District Court for the District of Nevada,0,False
1394076,1394076,2,"Dowdell, John Edward",University of Tulsa College of Law,J.D.,1981,U.S. District Court for the Northern District of Oklahoma,1,False
1394036,1394036,2,"Drain, Gershwin Allen",University of Michigan Law School,J.D.,1972,U.S. District Court for the Eastern District of Michigan,1,True
1394801,1394801,2,"Drozd, Dale Alan","University of California, Los Angeles, School of Law",J.D.,1980,U.S. District Court for the Eastern District of California,1,False
1393941,1393941,2,"Du, Miranda Mai","University of California, Berkeley, Boalt Hall School of Law",J.D.,1994,U.S. District Court for the District of Nevada,0,True
1394096,1394096,2,"Durkin, Thomas Michael",DePaul University College of Law,J.D.,1978,U.S. District Court for the Northern District of Illinois,1,False
1393516,1393516,2,"Eagles, Catherine Caldwell",George Washington University Law School,J.D.,1982,U.S. District Court for the Middle District of North Carolina,0,False
1394836,1394836,2,"Ebinger, Rebecca Goodgame",Yale Law School,J.D.,2004,U.S. District Court for the Southern District of Iowa,0,True
1394286,1394286,2,"Ellis, Sara Lee",Loyola University Chicago School of Law,J.D.,1994,U.S. District Court for the Northern District of Illinois,1,False
1393736,1393736,2,"Engelmayer, Paul Adam",Harvard Law School,J.D.,1987,U.S. District Court for the Southern District of New York,0,True
1394136,1394136,2,"Failla, Katherine Polk",Harvard Law School,J.D.,1993,U.S. District Court for the Southern District of New York,0,True
1393271,1393271,2,"Feinerman, Gary",Stanford Law School,J.D.,1991,U.S. District Court for the Northern District of Illinois,0,True
1393921,1393921,2,"Fitzgerald, Michael Walter","University of California, Berkeley, Boalt Hall School of Law",J.D.,1985,U.S. District Court for the Central District of California,1,True
1393236,1393236,2,"Fleissig, Audrey Goldstein",Washington University School of Law,J.D.,1980,U.S. District Court for the Eastern District of Missouri,1,False
1393241,1393241,3,"Foote, Elizabeth Erny",Louisiana State University Law School,J.D.,1978,U.S. District Court for the Western District of Louisiana,1,False
1393811,1393811,2,"Forrest, Katherine Bolan",New York University School of Law,J.D.,1990,U.S. District Court for the Southern District of New York,1,True
1394021,1394021,2,"Fowlkes, John Thomas, Jr.",University of Denver College of Law,J.D.,1977,U.S. District Court for the Western District of Tennessee,0,False
1394361,1394361,2,"Freeman, Beth Labson",Harvard Law School,J.D.,1979,U.S. District Court for the Northern District of California,0,True
1393106,1393106,2,"Freudenthal, Nancy Dell",University of Wyoming College of Law,J.D.,1980,U.S. District Court for the District of Wyoming,1,False
1394436,1394436,2,"Friedland, Michelle Taryn",Stanford Law School,J.D.,2000,U.S. Court of Appeals for the Ninth Circuit,1,True
1393896,1393896,2,"Furman, Jesse Matthew",Yale Law School,J.D.,1998,U.S. District Court for the Southern District of New York,0,True
1393781,1393781,3,"Garcia Marmolejo, Marina","St. Mary`s University School of Law, Texas",J.D.,1996,U.S. District Court for the Southern District of Texas,1,False
1394576,1394576,2,"Gayles, Darrin Phillip",George Washington University Law School,J.D.,1993,U.S. District Court for the Southern District of Florida,0,False
1392976,1392976,2,"Gee, Dolly Maizie","University of California, Los Angeles, School of Law",J.D.,1984,U.S. District Court for the Central District of California,1,False
1394091,1394091,2,"Geraci, Frank Paul, Jr.",University of Dayton School of Law,J.D.,1977,U.S. District Court for the Western District of New York,0,False
1393296,1393296,2,"Gergel, Richard Mark",Duke University School of Law,J.D.,1979,U.S. District Court for the District of South Carolina,0,True
1393886,1393886,3,"Gerrard, John Melvin","University of the Pacific, McGeorge School of Law",J.D.,1981,U.S. District Court for the District of Nebraska,0,False
1393526,1393526,2,"Gibney, John Adrian, Jr.",University of Virginia School of Law,J.D.,1976,U.S. District Court for the Eastern District of Virginia,1,True
1394746,1394746,2,"Gilliam, Haywood Stirling, Jr.",Stanford Law School,J.D.,1994,U.S. District Court for the Northern District of California,1,True
1393871,1393871,2,"Gilstrap, James Rodney",Baylor University School of Law,J.D.,1981,U.S. District Court for the Eastern District of Texas,1,False
1393851,1393851,2,"Gleason, Sharon Louise","University of California, Davis, School of Law",J.D.,1983,U.S. District Court for the District of Alaska,0,False
1393256,1393256,2,"Goldsmith, Mark Allan",Harvard Law School,J.D.,1977,U.S. District Court for the Eastern District of Michigan,0,True
1394246,1394246,2,"Gonzales, Kenneth John",University of New Mexico School of Law,J.D.,1994,U.S. District Court for the District of New Mexico,1,False
1394146,1394146,2,"Gordon, Andrew Patrick",Harvard Law School,J.D.,1987,U.S. District Court for the District of Nevada,0,True
1393611,1393611,2,"Graves, James Earl, Jr.",Syracuse University College of Law,J.D.,1980,U.S. Court of Appeals for the Fifth Circuit,0,False
1394056,1394056,2,"Grimm, Paul William",University of New Mexico School of Law,J.D.,1976,U.S. District Court for the District of Maryland,0,False
1393916,1393916,2,"Groh, Gina Marie",West Virginia University College of Law,J.D.,1989,U.S. District Court for the Northern District of West Virginia,1,False
1394856,1394856,2,"Groves, Jennifer Choe",Rutgers School of Law -- Newark,J.D.,1994,U.S. Court of International Trade,0,False
1393966,1393966,2,"Guaderrama, David Campos",Notre Dame Law School,J.D.,1979,U.S. District Court for the Western District of Texas,0,False
1394296,1394296,2,"Haikala, Madeline Hughes",Tulane University Law School,J.D.,1989,U.S. District Court for the Northern District of Alabama,0,False
1394686,1394686,2,"Hale, David Jason",University of Kentucky College of Law,J.D.,1992,U.S. District Court for the Western District of Kentucky,1,False
1394816,1394816,2,"Hall, LaShann Moutique DeArcy",Howard University School of Law,J.D.,2000,U.S. District Court for the Eastern District of New York,0,False
1394776,1394776,2,"Hanks, George Carol, Jr.",Harvard Law School,J.D.,1989,U.S. District Court for the Southern District of Texas,0,True
1394416,1394416,2,"Harpool, M. Douglas",University of Missouri School of Law,J.D.,1980,U.S. District Court for the Western District of Missouri,1,False
1394626,1394626,2,"Harris, Pamela Ann",Yale Law School,J.D.,1990,U.S. Court of Appeals for the Fourth Circuit,0,True
1394476,1394476,2,"Hazel, George Jarrod",Georgetown University Law Center,J.D.,1999,U.S. District Court for the District of Maryland,0,True
1394001,1394001,2,"Helmick, Jeffrey James",Ohio State University College of Law,J.D.,1988,U.S. District Court for the Northern District of Ohio,1,False
1394541,1394541,2,"Hendricks, Bruce Howe",University of South Carolina School of Law,J.D.,1990,U.S. District Court for the District of South Carolina,1,False
1393596,1393596,2,"Hernandez, Marco Antonio",University of Washington School of Law,J.D.,1986,U.S. District Court for the District of Oregon,0,False
1393806,1393806,2,"Hickey, Susan Owens",University of Arkansas School of Law,J.D.,1981,U.S. District Court for the Western District of Arkansas,1,False
1393836,1393836,2,"Higginson, Stephen Andrew",Yale Law School,J.D.,1987,U.S. Court of Appeals for the Fifth Circuit,0,True
1393996,1393996,2,"Hillman, Timothy Spafard",Suffolk University Law School,J.D.,1973,U.S. District Court for the District of Massachusetts,1,False
1393551,1393551,2,"Hollander, Ellen Lipton",Georgetown University Law Center,J.D.,1974,U.S. District Court for the District of Maryland,0,True
1393601,1393601,2,"Holmes, Paul Kinloch III",University of Arkansas School of Law,J.D.,1978,U.S. District Court for the Western District of Arkansas,1,False
1392956,1392956,2,"Honeywell, Charlene Vanessa Edwards",University of Florida College of Law,J.D.,1981,U.S. District Court for the Middle District of Florida,1,False
1393826,1393826,2,"Hornak, Mark Raymond",University of Pittsburgh School of Law,J.D.,1981,U.S. District Court for the Western District of Pennsylvania,1,False
1393581,1393581,2,"Howell, Beryl Alaine",Columbia Law School,J.D.,1983,U.S. District Court for the District of Columbia,0,True
1394276,1394276,3,"Hughes, Todd Michael",Duke University School of Law,J.D.,1992,U.S. Court of Appeals for the Federal Circuit,0,True
1394511,1394511,3,"Humetewa, Diane Joyce",Arizona State University College of Law,J.D.,1993,U.S. District Court for the District of Arizona,1,False
1394006,1394006,2,"Hurwitz, Andrew David",Yale Law School,J.D.,1972,U.S. Court of Appeals for the Ninth Circuit,0,True
1393656,1393656,2,"Jackson, Amy Berman",Harvard Law School,J.D.,1979,U.S. District Court for the District of Columbia,0,True
1393251,1393251,2,"Jackson, Brian Anthony",Southern University Law Center,J.D.,1985,U.S. District Court for the Middle District of Louisiana,1,False
1394151,1394151,2,"Jackson, Ketanji Brown",Harvard Law School,J.D.,1996,U.S. District Court for the District of Columbia,0,True
1393746,1393746,2,"Jackson, Richard Brooke",Harvard Law School,J.D.,1972,U.S. District Court for the District of Colorado,0,True
1393626,1393626,2,"Jones, Steve CarMichael",University of Georgia School of Law,J.D.,1987,U.S. District Court for the Northern District of Georgia,1,False
1393281,1393281,3,"Kagan, Elena",Harvard Law School,J.D.,1986,Supreme Court of the United States,0,True
1392961,1392961,2,"Kallon, Abdul K.",University of Pennsylvania Law School,J.D.,1993,U.S. District Court for the Northern District of Alabama,0,True
1394861,1394861,3,"Katzmann, Gary S.",Yale Law School,J.D.,1979,U.S. Court of International Trade,0,True
1394121,1394121,2,"Kayatta, William Joseph, Jr.",Harvard Law School,J.D.,1979,U.S. Court of Appeals for the First Circuit,1,True
1394691,1394691,2,"Kearney, Mark A.",Villanova University School of Law,J.D.,1987,U.S. District Court for the Eastern District of Pennsylvania,1,False
1392991,1392991,2,"Keenan, Barbara Milano",George Washington University Law School,J.D.,1974,U.S. Court of Appeals for the Fourth Circuit,0,False
1394226,1394226,2,"Kelly, Claire Rita",Brooklyn Law School,J.D.,1993,U.S. Court of International Trade,0,False
1394186,1394186,2,"Kelly, Jane Louise",Harvard Law School,J.D.,1991,U.S. Court of Appeals for the Eighth Circuit,0,True
1394796,1394796,2,"Ketchmark, Roseann Ambrosia",University of Kansas School of Law,J.D.,1990,U.S. District Court for the Western District of Missouri,0,False
1393556,1393556,2,"Kobayashi, Leslie Emi",Boston College Law School,J.D.,1983,U.S. District Court for the District of Hawaii,0,False
1393231,1393231,2,"Koh, Lucy Haeran",Harvard Law School,J.D.,1993,U.S. District Court for the Northern District of California,0,True
1394601,1394601,2,"Krause, Cheryl Ann",Stanford Law School,J.D.,1993,U.S. Court of Appeals for the Third Circuit,0,True
1393676,1393676,2,"Kronstadt, John Arnold",Yale Law School,J.D.,1976,U.S. District Court for the Central District of California,0,True
1393776,1393776,3,"Kuntz, William Francis II",Harvard Law School,J.D.,1977,U.S. District Court for the Eastern District of New York,0,True
1392946,1392946,2,"Lange, Roberto Antonio",Northwestern University School of Law,J.D.,1988,U.S. District Court for the District of South Dakota,0,True
1394551,1394551,2,"Lauck, M[ary] Hannah",Yale Law School,J.D.,1991,U.S. District Court for the Eastern District of Virginia,0,True
1393976,1393976,2,"Lee, John Zihun",Harvard Law School,J.D.,1992,U.S. District Court for the Northern District of Illinois,0,True
1394701,1394701,2,"Leeson, Joseph F., Jr.","Catholic University of America, Columbus School of Law",J.D.,1980,U.S. District Court for the Eastern District of Pennsylvania,0,False
1394391,1394391,2,"Leitman, Matthew Frederick",Harvard Law School,J.D.,1993,U.S. District Court for the Eastern District of Michigan,0,True
1394461,1394461,2,"Levy, Jon David",West Virginia University College of Law,J.D.,1979,U.S. District Court for the District of Maine,0,False
1394396,1394396,2,"Levy, Judith Ellen",University of Michigan Law School,J.D.,1996,U.S. District Court for the Eastern District of Michigan,1,True
1394011,1394011,2,"Lewis, Mary Geiger",University of South Carolina School of Law,J.D.,1984,U.S. District Court for the District of South Carolina,1,False
1394446,1394446,2,"Lipman, Sheryl Halle",New York University School of Law,J.D.,1987,U.S. District Court for the Western District of Tennessee,0,True
1394501,1394501,2,"Logan, Steven Paul",University of Oklahoma College of Law,J.D.,1992,U.S. District Court for the District of Arizona,0,False
1393561,1393561,2,"Lohier, Raymond Joseph, Jr.",New York University School of Law,J.D.,1991,U.S. Court of Appeals for the Second Circuit,1,True
1393226,1393226,2,"Magnus-Stinson, Jane Elizabeth",Indiana University School of Law -- Indianapolis (now McKinney School of Law),J.D.,1983,U.S. District Court for the Southern District of Indiana,1,False
1394111,1394111,2,"Mannion, Malachy Edward",Pace University School of Law,J.D.,1979,U.S. District Court for the Middle District of Pennsylvania,0,False
1393821,1393821,2,"Mariani, Robert David",Syracuse University College of Law,J.D.,1976,U.S. District Court for the Middle District of Pennsylvania,0,False
1394516,1394516,2,"Marquez, Rosemary",University of Arizona College of Law,J.D.,1993,U.S. District Court for the District of Arizona,1,False
1393116,1393116,3,"Marshall, Denzil Price, Jr.",Harvard Law School,J.D.,1989,U.S. District Court for the Eastern District of Arkansas,0,True
1393576,1393576,2,"Martinez, William Joseph",University of Chicago Law School,J.D.,1980,U.S. District Court for the District of Colorado,0,True
1394871,1394871,2,"Martinotti, Brian R.",Seton Hall University School of Law,J.D.,1986,U.S. District Court for the District of New Jersey,1,False
1394536,1394536,2,"Mastroianni, Mark Gerald",Western New England College School of Law,J.D.,1989,U.S. District Court for the District of Massachusetts,1,False
1393591,1393591,3,"Matheson, Scott Milne, Jr.",Yale Law School,J.D.,1980,U.S. Court of Appeals for the Tenth Circuit,0,True
1394641,1394641,2,"May, Leigh Martin",University of Georgia School of Law,J.D.,1998,U.S. District Court for the Northern District of Georgia,1,False
1394751,1394751,2,"Mazzant, Amos Louis III",Baylor University School of Law,J.D.,1990,U.S. District Court for the Eastern District of Texas,1,False
1394326,1394326,2,"McCafferty, Landya B.",Northeastern University School of Law,J.D.,1991,U.S. District Court for the District of New Hampshire,0,False
1393691,1393691,2,"McConnell, John James, Jr.",Case Western Reserve University School of Law,J.D.,1983,U.S. District Court for the District of Rhode Island,0,False
1394821,1394821,2,"McDonough, Travis Randall",Vanderbilt University Law School,J.D.,1997,U.S. District Court for the Eastern District of Tennessee,1,False
1394386,1394386,2,"McHugh, Carolyn Baldwin",University of Utah College of Law,J.D.,1982,U.S. Court of Appeals for the Tenth Circuit,1,False
1394421,1394421,2,"McHugh, Gerald Austin, Jr.",University of Pennsylvania Law School,J.D.,1979,U.S. District Court for the Eastern District of Pennsylvania,1,True
1394026,1394026,2,"McNulty, Kevin",New York University School of Law,J.D.,1983,U.S. District Court for the District of New Jersey,0,True
1394211,1394211,2,"McShane, Michael Jerome",Northwestern School of Law of Lewis and Clark College,J.D.,1988,U.S. District Court for the District of Oregon,0,False
1394756,1394756,2,"Mehta, Amit Priyavadan",University of Virginia School of Law,J.D.,1997,U.S. District Court for the District of Columbia,0,True
1394586,1394586,3,"Mendoza, Carlos Eduardo",West Virginia University College of Law,J.D.,1997,U.S. District Court for the Middle District of Florida,0,False
1394566,1394566,2,"Mendoza, Salvador, Jr.","University of California, Los Angeles, School of Law",J.D.,1997,U.S. District Court for the Eastern District of Washington,0,False
